ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-06-11T00:00:00.000000000Z,2025-06-10T23:52:40.065054761Z,10,1,42026412,A,N,0,61.700000000,1,168,0,79270849,61.000000000,61.700000000,1,1,1,1,60.700000000,62.200000000,8,9,1,1,60.360000000,89.000000000,2,1,1,1,60.350000000,,1,0,1,0,59.310000000,,1,0,1,0,59.000000000,,1,0,1,0,58.800000000,,1,0,1,0,58.000000000,,1,0,1,0,57.050000000,,1,0,1,0,57.000000000,,1,0,1,0,MCLX5
2025-06-11T00:00:00.000000000Z,2025-06-10T23:59:47.508458409Z,10,1,42175560,A,N,0,4.030000000,10,168,0,79277197,3.220000000,4.030000000,10,10,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLN5-MCLZ5
2025-06-11T00:00:00.000000000Z,2025-06-10T23:59:06.049919041Z,10,1,42405621,A,N,0,3.790000000,10,168,0,79276599,3.000000000,3.790000000,10,10,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLN5-MCLK6
2025-06-11T00:00:00.000000000Z,2025-06-10T23:59:56.185568279Z,10,1,42026514,A,N,0,64.830000000,1,168,0,79277611,64.790000000,64.800000000,6,8,2,5,64.780000000,64.810000000,5,3,5,3,64.770000000,64.820000000,9,9,5,6,64.760000000,64.830000000,8,10,8,10,64.750000000,64.840000000,9,6,9,5,64.740000000,64.850000000,10,8,9,5,64.730000000,64.860000000,5,5,5,4,64.720000000,64.870000000,8,4,5,3,64.710000000,64.880000000,8,4,7,3,64.700000000,64.890000000,7,3,6,2,MCLN5
2025-06-11T00:00:00.000000000Z,2025-06-10T23:49:45.751977669Z,10,1,42026513,A,N,0,62.400000000,1,168,0,79265548,62.600000000,62.830000000,1,1,1,1,62.510000000,63.170000000,1,1,1,1,62.500000000,63.310000000,2,1,2,1,62.400000000,63.500000000,1,2,1,2,62.310000000,63.540000000,1,1,1,1,62.210000000,63.790000000,1,1,1,1,62.080000000,64.000000000,1,2,1,2,62.050000000,64.280000000,1,1,1,1,62.040000000,64.500000000,1,3,1,3,62.030000000,64.550000000,2,1,2,1,MCLU5
2025-06-11T00:00:00.000000000Z,2025-06-10T23:18:40.705384631Z,10,1,42026512,A,N,0,61.580000000,1,168,0,79175419,60.100000000,61.580000000,1,1,1,1,60.000000000,63.000000000,1,2,1,2,59.800000000,63.750000000,2,1,1,1,59.750000000,64.000000000,1,1,1,1,59.700000000,64.700000000,1,1,1,1,59.500000000,65.000000000,1,1,1,1,59.400000000,66.000000000,1,2,1,1,59.000000000,66.590000000,6,6,4,6,58.850000000,66.640000000,2,2,1,1,58.800000000,67.000000000,1,2,1,1,MCLZ5
2025-06-11T00:00:00.000000000Z,2025-06-08T20:04:25.625079513Z,10,1,42000225,A,N,0,55.000000000,1,168,0,114308,55.000000000,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLZ7
2025-06-11T00:00:00.000000000Z,2025-06-08T20:04:25.625079513Z,10,1,42025624,A,N,0,53.660000000,2,168,0,114301,58.080000000,,1,0,1,0,53.660000000,,2,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLU6
2025-06-11T00:00:00.000000000Z,2025-06-10T23:59:55.590356549Z,10,1,42025623,A,N,0,62.500000000,1,168,0,79277610,63.700000000,63.720000000,2,2,2,2,63.690000000,63.730000000,3,2,3,2,63.680000000,63.740000000,1,3,1,3,63.670000000,63.750000000,3,2,3,2,63.660000000,63.760000000,5,6,5,6,63.650000000,63.770000000,4,1,4,1,63.640000000,63.780000000,5,5,5,5,63.630000000,63.790000000,4,1,4,1,63.620000000,63.800000000,3,3,3,3,63.610000000,63.810000000,2,4,2,2,MCLQ5
2025-06-11T00:00:00.000000000Z,2025-06-10T17:20:11.604183789Z,10,1,42026453,A,N,0,59.000000000,1,168,0,70390632,59.000000000,63.490000000,1,1,1,1,56.940000000,64.940000000,1,1,1,1,56.490000000,,1,0,1,0,55.940000000,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLZ6
2025-06-11T00:00:00.000000000Z,2025-06-09T19:43:44.055500243Z,10,1,42026516,A,N,0,58.310000000,1,168,0,35081403,58.310000000,,1,0,1,0,57.570000000,,2,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLG6
2025-06-11T00:00:00.000000000Z,2025-06-08T20:04:25.625079513Z,10,1,42026451,A,N,0,48.000000000,1,168,0,114250,55.550000000,,1,0,1,0,52.000000000,,1,0,1,0,48.000000000,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLH6
2025-06-11T00:00:00.000000000Z,2025-06-08T20:04:25.625079513Z,10,1,42026450,A,N,0,53.530000000,3,168,0,114250,56.560000000,,2,0,1,0,55.000000000,,2,0,1,0,54.540000000,,4,0,1,0,53.530000000,,3,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLJ6
2025-06-11T00:00:00.000000000Z,2025-06-10T13:50:49.281479785Z,10,1,42024019,A,N,0,62.250000000,1,168,0,55219793,57.000000000,62.250000000,1,1,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLF6
2025-06-11T00:00:00.000000000Z,2025-06-10T22:27:30.808863639Z,10,1,42026448,A,N,0,61.010000000,1,168,0,79010697,61.010000000,,1,0,1,0,50.000000000,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLM6
2025-06-11T00:00:00.000000000Z,2025-06-08T20:04:25.625079513Z,10,1,42002137,A,N,0,50.000000000,1,168,0,114309,50.000000000,,1,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLZ8
2025-06-11T00:00:00.000000000Z,2025-06-08T20:04:25.625079513Z,10,1,42002712,A,N,0,75.500000000,1,168,0,114251,,75.500000000,0,1,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,MCLM7
